Título,Link da Oferta,Desconto,Preço Promocional,Preço Normal
Crash Bandicoot™ - Pacote Quadrilogia,https://store.playstation.com/pt-br/product/UP0002-CUSA19035_00-CRASH2021BDL0001,-60%,"R$144,00","R$360,00"
Crash Bandicoot™ 4: It's About Time,https://store.playstation.com/pt-br/product/UP0002-PPSA02432_00-CB4THEGAME000001,-67%,"R$82,46","R$249,90"
Pacote de Trajes adicional - Kimetsu Academy Summer Uniforms PS4&PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA03489_00-HINOKAMIDLC00012,-50%,"R$13,45","R$26,90"
Pacote de Personagem Daki PS4&PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA03489_00-HINOKAMIDLC00010,-50%,"R$13,45","R$26,90"
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles - Pacote principal de conteúdo adicional,https://store.playstation.com/pt-br/product/UP0177-PPSA03489_00-HINOKAMIBDL00000,-60%,"R$31,96","R$79,90"
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles PS4 & PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA03489_00-HINOKAMI00000000,-60%,"R$119,96","R$299,90"
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles - Edição Ultimate,https://store.playstation.com/pt-br/product/UP0177-PPSA03489_00-ULTIMATEEDITIONA,-60%,"R$173,96","R$434,90"
Gyutaro Character Pack PS4 & PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA03489_00-HINOKAMIDLC00011,-50%,"R$13,45","R$26,90"
"Pacote de Personagens Tanjiro, Zenitsu e Inosuke (Entertainment District) PS4&PS5",https://store.playstation.com/pt-br/product/UP0177-PPSA03489_00-HINOKAMISET00003,-50%,"R$26,95","R$53,90"
Pacote de Personagem Tengen Uzui PS4&PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA03489_00-HINOKAMIDLC00005,-50%,"R$13,45","R$26,90"
theHunter: Call of the Wild™,https://store.playstation.com/pt-br/product/UP3501-CUSA08661_00-THCOTWBASE000000,-75%,"R$37,37","R$149,50"
theHunter: Call of the Wild™ - Ambusher Pack,https://store.playstation.com/pt-br/product/UP3501-CUSA08661_00-THEAMBUSHERPACK0,-25%,"R$20,17","R$26,90"
